saved_at,beneficiary,nic,district,livelihood,grant_rs,total_mark,system_decision,critical_findings,reviewer_decision,approver_decision,saved_by,role,folder,file_sha1,prepared_by,verified_by,failed_checks,partial_checks,C1_score,C2_score,C3_score,C4_score,C5_score,C6_score,C7_score,C8_score,C9_score
2026-03-01T00:00:00,Demo beneficiary 11,,Kandy,Mushroom,75000,85.8,Approve,,Approve,,Demo,approver,,demo0010,A.Perera - CDC - 2026.05.01,,C2.2,,11.87,15,10.34,18.73,7.95,8.43,6.38,2.56,4.52
2026-03-22T00:00:00,Demo beneficiary 12,,Ratnapura,Poultry,60000,74.8,Approve with conditions,,Approve with conditions,,Demo,approver,,demo0011,A.Perera - CDC - 2026.05.01,,C9.2;C5.5,,9.95,8.57,12.57,15.89,9.55,5.6,5.49,2.89,4.33
2026-03-27T00:00:00,Demo beneficiary 13,,Kegalle,Mushroom,60000,85.6,Approve,,Approve,Approve,Demo,approver,,demo0012,S.Kumar - CDC - 2026.05.01,,C3.1,,15,13.2,11.9,20,5.59,7.95,5.35,2.39,4.19
2026-07-07T00:00:00,Demo beneficiary 14,,Badulla,Grocery shop,60000,76.9,Approve,,Approve,Revise and resubmit,Demo,approver,,demo0013,A.Perera - CDC - 2026.05.01,,C5.2;C7.2,,9.77,10.85,12.36,14.68,8.84,7.17,5.94,2.71,4.59
2026-03-28T00:00:00,Demo beneficiary 15,,Kegalle,Vegetable cultivation,60000,79.7,Approve,,Approve,Approve,Demo,approver,,demo0014,A.Perera - CDC - 2026.05.01,,C8.2,,10.5,10.32,10.77,17.76,9.03,8.04,5.65,3,4.59
2026-05-03T00:00:00,Demo beneficiary 16,,Ratnapura,Grocery shop,75000,63.4,Approve with conditions,,Approve with conditions,,Demo,approver,,demo0015,S.Kumar - CDC - 2026.05.01,,C7.2;C8.2,,8.43,7.73,9.4,16.28,6.35,5.95,4.28,1.56,3.45
2026-04-05T00:00:00,Demo beneficiary 17,,Kandy,Poultry,45000,77.1,Approve,,Approve,Approve,Demo,approver,,demo0016,R.Silva - CDC - 2026.05.01,,C3.3;C2.3,,9.99,12.22,12.16,16.01,7.6,8.81,5.6,2.32,2.35
2026-06-07T00:00:00,Demo beneficiary 18,,Monaragala,Grocery shop,110000,86.7,Approve,,Approve,Approve,Demo,approver,,demo0017,A.Perera - CDC - 2026.05.01,,C5.2;C8.2,,14.11,12.29,14.6,18.2,7.84,6.89,5.89,2.65,4.25
2026-05-06T00:00:00,Demo beneficiary 19,,Kandy,Poultry,110000,96.1,Approve,,Approve,,Demo,approver,,demo0018,T.Raj - CDC - 2026.05.01,,,,15,14.26,15,20,9.66,9.81,6.13,2.78,3.48
2026-05-26T00:00:00,Demo beneficiary 20,,Kegalle,Tailoring,75000,63.2,Approve with conditions,,Approve with conditions,Approve with conditions,Demo,approver,,demo0019,A.Perera - CDC - 2026.05.01,,C2.2;C4.3;C3.2;C4.4,,8.39,7.75,11.51,13.18,7.88,5.53,4.04,1.9,3.02
2026-05-04T00:00:00,Demo beneficiary 21,,Nuwara Eliya,Vegetable cultivation,45000,60.7,Approve with conditions,,Approve with conditions,,Demo,approver,,demo0020,T.Raj - CDC - 2026.05.01,,C8.2;C2.3;C3.3;C4.4,,8.45,9.5,9.35,13.09,6.03,5.39,4.71,1.75,2.4
2026-04-20T00:00:00,Demo beneficiary 22,,Ratnapura,Mushroom,60000,80.8,Approve,,Approve,Revise and resubmit,Demo,approver,,demo0021,N.Fernando - CDC - 2026.05.01,,C4.4,,12.4,12.75,14.66,15.04,7.01,7.63,5.05,3,3.21
2026-08-25T00:00:00,Demo beneficiary 23,,Monaragala,Vegetable cultivation,95900,96.3,Approve,,Approve,Approve,Demo,approver,,demo0022,N.Fernando - CDC - 2026.05.01,,,,13.78,15,14.4,20,8.58,10,7,2.52,5
2026-07-08T00:00:00,Demo beneficiary 24,,Nuwara Eliya,Vegetable cultivation,75000,60.6,Approve with conditions,,Approve with conditions,,Demo,approver,,demo0023,S.Kumar - CDC - 2026.05.01,,C5.5;C3.2;C7.2;C4.4,,9.12,13.34,7.5,9.82,5.51,6.78,3.88,1.72,2.91
2026-05-12T00:00:00,Demo beneficiary 25,,Ratnapura,Grocery shop,60000,65.3,Approve with conditions,,Approve with conditions,Approve with conditions,Demo,approver,,demo0024,T.Raj - CDC - 2026.05.01,,C2.2;C5.5;C5.2,,10.02,11.22,9.92,13.28,8.05,4.5,4.27,1.63,2.44
2026-03-27T00:00:00,Demo beneficiary 26,,Kandy,Tailoring,110000,45.8,Revise and resubmit,C2.4,Revise and resubmit,Revise and resubmit,Demo,approver,,demo0025,A.Perera - CDC - 2026.05.01,,C9.2;C2.3;C4.3;C3.2;C2.4,,5.72,8.2,6.91,7.61,5.0,6.32,2.34,1.78,1.9
2026-04-22T00:00:00,Demo beneficiary 27,,Badulla,Mushroom,95900,48.6,Revise and resubmit,,Revise and resubmit,Revise and resubmit,Demo,approver,,demo0026,R.Silva - CDC - 2026.05.01,,C9.2;C7.2;C4.4;C3.2,,6.04,7.83,7.98,11.81,3.41,3.83,3.7,1.52,2.47
2026-07-02T00:00:00,Demo beneficiary 28,,Nuwara Eliya,Tailoring,75000,92.3,Approve,,Approve,,Demo,approver,,demo0027,A.Perera - CDC - 2026.05.01,,,,15,14.16,14.83,17.98,8.93,8.65,6.23,2.54,4.01
2026-05-08T00:00:00,Demo beneficiary 29,,Kandy,Poultry,60000,62.2,Approve with conditions,,Approve with conditions,Revise and resubmit,Demo,approver,,demo0028,A.Perera - CDC - 2026.05.01,,C7.2;C3.1;C4.4,,6.56,8.53,11.18,9.48,6.35,7.92,5.44,2.13,4.6
2026-06-12T00:00:00,Demo beneficiary 30,,Monaragala,Mushroom,60000,82.7,Revise and resubmit,C2.4,Revise and resubmit,Revise and resubmit,Demo,approver,,demo0029,R.Silva - CDC - 2026.05.01,,C7.2;C5.5;C2.4,,13.51,12.73,11.53,16.97,6.58,9.29,4.66,2.45,5
2026-06-01T00:00:00,Demo beneficiary 31,,Kandy,Dairy,45000,64.6,Approve with conditions,,Approve with conditions,Approve with conditions,Demo,approver,,demo0030,A.Perera - CDC - 2026.05.01,,C5.2;C3.2;C5.5;C2.2,,11.73,11.58,8.61,12.08,5.2,7.42,3.41,1.96,2.57
2026-09-01T00:00:00,Demo beneficiary 32,,Nuwara Eliya,Vegetable cultivation,95900,76.0,Approve,,Approve,Approve with conditions,Demo,approver,,demo0031,S.Kumar - CDC - 2026.05.01,,C2.3;C5.5,,9.8,12.33,10.54,14.48,8.81,7.81,5.92,2.93,3.35
2026-06-09T00:00:00,Demo beneficiary 33,,Nuwara Eliya,Poultry,60000,66.1,Approve with conditions,,Approve with conditions,Approve with conditions,Demo,approver,,demo0032,T.Raj - CDC - 2026.05.01,,C4.4;C5.5;C4.3,,7.97,13.06,10.39,14.08,7.07,5.53,4.85,1.76,1.41
2026-07-24T00:00:00,Demo beneficiary 34,,Badulla,Vegetable cultivation,95900,88.0,Approve,,Approve,Approve,Demo,approver,,demo0033,T.Raj - CDC - 2026.05.01,,C3.2,,11.07,12.98,15,18.95,8.13,8.66,6.14,2.73,4.38
2026-08-13T00:00:00,Demo beneficiary 35,,Kandy,Tailoring,75000,65.1,Approve with conditions,,Approve with conditions,,Demo,approver,,demo0034,A.Perera - CDC - 2026.05.01,,C3.2;C4.4,,12.0,10.64,8.5,12.13,6.57,6.51,4.0,2.3,2.41
2026-04-09T00:00:00,Demo beneficiary 36,,Badulla,Grocery shop,45000,82.2,Approve,,Approve,,Demo,approver,,demo0035,R.Silva - CDC - 2026.05.01,,C7.2;C9.2,,13.1,12.02,8.5,18.38,7.55,10,6.34,2.74,3.59
2026-03-19T00:00:00,Demo beneficiary 37,,Monaragala,Grocery shop,110000,87.1,Approve,,Approve,Approve,Demo,approver,,demo0036,N.Fernando - CDC - 2026.05.01,,C5.5,,14.92,14.26,13.34,17.17,8.75,8.22,4.12,2.36,3.92
2026-05-18T00:00:00,Demo beneficiary 38,,Nuwara Eliya,Vegetable cultivation,60000,66.9,Approve with conditions,,Approve with conditions,Approve with conditions,Demo,approver,,demo0037,R.Silva - CDC - 2026.05.01,,C4.3;C3.1,,13.08,12.19,10.77,8.35,7.85,5.58,3.61,1.87,3.62
2026-04-19T00:00:00,Demo beneficiary 39,,Badulla,Tailoring,60000,72.0,Revise and resubmit,C4.1,Revise and resubmit,Revise and resubmit,Demo,approver,,demo0038,N.Fernando - CDC - 2026.05.01,,C4.4;C8.2;C4.1,,12.15,9.98,12.31,11.66,7.76,7.45,4.59,2.27,3.88
2026-03-14T00:00:00,Demo beneficiary 40,,Ratnapura,Vegetable cultivation,60000,76.3,Approve,,Approve,Approve,Demo,approver,,demo0039,N.Fernando - CDC - 2026.05.01,,C3.1,,14.07,9.52,10.03,11.38,8.56,9.83,6.21,2.6,4.06
2026-05-11T00:00:00,Demo beneficiary 41,,Nuwara Eliya,Dairy,95900,61.2,Approve with conditions,,Approve with conditions,,Demo,approver,,demo0040,A.Perera - CDC - 2026.05.01,,C5.2;C9.2;C7.2,,3.21,10.87,8.74,14.77,8.86,6.27,4.18,1.7,2.63
2026-08-08T00:00:00,Demo beneficiary 42,,Kandy,Vegetable cultivation,95900,48.4,Revise and resubmit,C4.1,Revise and resubmit,Revise and resubmit,Demo,approver,,demo0041,A.Perera - CDC - 2026.05.01,,C7.2;C4.3;C5.2;C2.2;C9.2;C4.1,,5.78,4.67,9.02,7.66,6.63,6.21,3.92,1.53,3.01
2026-07-31T00:00:00,Demo beneficiary 43,,Ratnapura,Vegetable cultivation,45000,68.5,Approve with conditions,,Approve with conditions,,Demo,approver,,demo0042,A.Perera - CDC - 2026.05.01,,C9.2;C5.2;C4.4,,9.84,10.67,11.06,12.13,6.26,5.45,6.67,2.66,3.75
2026-07-31T00:00:00,Demo beneficiary 44,,Nuwara Eliya,Grocery shop,60000,35.1,Not recommended,,Not recommended,Not recommended,Demo,approver,,demo0043,S.Kumar - CDC - 2026.05.01,,C9.2;C4.4;C3.3;C4.3;C5.2;C5.5,,5.7,6.71,4.49,6.65,4.61,0.58,2.41,1.27,2.65
2026-04-29T00:00:00,Demo beneficiary 45,,Badulla,Tailoring,95900,72.6,Approve with conditions,,Approve with conditions,Approve with conditions,Demo,approver,,demo0044,S.Kumar - CDC - 2026.05.01,,C3.2;C5.5;C7.2,,10.87,12.44,10.7,10.54,9.8,9.46,3.1,2.03,3.65
2026-07-27T00:00:00,Demo beneficiary 46,,Badulla,Dairy,45000,61.3,Approve with conditions,,Approve with conditions,Approve with conditions,Demo,approver,,demo0045,S.Kumar - CDC - 2026.05.01,,C4.3;C3.3;C9.2,,6.66,9.68,9.36,14.61,5.92,5.71,4.4,2.01,2.98
2026-03-20T00:00:00,Demo beneficiary 47,,Monaragala,Grocery shop,60000,54.7,Revise and resubmit,C2.1,Revise and resubmit,Approve with conditions,Demo,approver,,demo0046,N.Fernando - CDC - 2026.05.01,,C3.1;C4.4;C4.3;C3.2;C2.1,,8.62,9.62,6.23,12.68,5.75,3.59,4.3,2.17,1.77
2026-05-23T00:00:00,Demo beneficiary 48,,Kandy,Mushroom,75000,72.5,Approve with conditions,,Approve with conditions,Approve with conditions,Demo,approver,,demo0047,N.Fernando - CDC - 2026.05.01,,C3.1;C2.2,,8.06,13.25,10.79,13.69,6.05,8.19,5.17,3,4.26
2026-05-18T00:00:00,Demo beneficiary 49,,Kandy,Vegetable cultivation,75000,65.4,Approve with conditions,,Approve with conditions,,Demo,approver,,demo0048,N.Fernando - CDC - 2026.05.01,,C5.5;C4.4,,10.88,8.6,10.73,10.64,8.28,6.75,4.56,1.62,3.37
2026-04-11T00:00:00,Demo beneficiary 50,,Badulla,Vegetable cultivation,45000,59.3,Revise and resubmit,,Revise and resubmit,Revise and resubmit,Demo,approver,,demo0049,R.Silva - CDC - 2026.05.01,,C3.2;C9.2;C5.5,,10.03,10.19,6.63,11.67,5.63,4.2,5.73,1.78,3.43
2026-07-02T00:00:00,Demo beneficiary 51,,Monaragala,Vegetable cultivation,110000,85.7,Approve,,Approve,,Demo,approver,,demo0050,R.Silva - CDC - 2026.05.01,,C4.3,,14.02,11.22,14.23,18.1,9.23,5.74,5.67,2.86,4.67
2026-07-11T00:00:00,Demo beneficiary 52,,Badulla,Tailoring,75000,77.4,Approve,,Approve,Approve,Demo,approver,,demo0051,S.Kumar - CDC - 2026.05.01,,C2.2,,14.51,11.6,9.53,14.38,6.87,7.49,5.29,2.74,4.99
2026-08-14T00:00:00,Demo beneficiary 53,,Kandy,Dairy,110000,93.4,Approve,,Approve,Approve,Demo,approver,,demo0052,R.Silva - CDC - 2026.05.01,,,,13.39,15,15,20,7.83,8.81,5.88,2.49,5
2026-03-24T00:00:00,Demo beneficiary 54,,Kandy,Grocery shop,110000,55.9,Revise and resubmit,C4.1,Revise and resubmit,Revise and resubmit,Demo,approver,,demo0053,A.Perera - CDC - 2026.05.01,,C3.3;C7.2;C5.5;C3.2;C4.1,,7.32,8.6,9.11,9.91,5.03,6.16,5.6,1.87,2.33
2026-05-13T00:00:00,Demo beneficiary 55,,Badulla,Mushroom,60000,58.3,Revise and resubmit,,Revise and resubmit,Revise and resubmit,Demo,approver,,demo0054,N.Fernando - CDC - 2026.05.01,,C3.2;C2.2;C9.2,,9.07,9.31,6.53,12.04,6.39,5.25,4.47,2.11,3.11
2026-06-12T00:00:00,Demo beneficiary 56,,Badulla,Mushroom,75000,63.2,Approve with conditions,,Approve with conditions,Approve with conditions,Demo,approver,,demo0055,R.Silva - CDC - 2026.05.01,,C2.2;C8.2;C4.3;C5.2,,8.09,7.86,11.19,14.15,5.24,5.9,6.35,1.32,3.09
2026-06-09T00:00:00,Demo beneficiary 57,,Ratnapura,Dairy,75000,82.6,Approve,,Approve,Approve,Demo,approver,,demo0056,N.Fernando - CDC - 2026.05.01,,C3.2;C4.4,,14.75,13.66,13.46,14.51,7.14,9.07,4.83,1.75,3.4
2026-05-14T00:00:00,Demo beneficiary 58,,Kegalle,Mushroom,95900,60.7,Approve with conditions,,Approve with conditions,Approve with conditions,Demo,approver,,demo0057,N.Fernando - CDC - 2026.05.01,,C2.2;C2.3;C5.2;C3.1,,7.65,8.62,6.51,13.02,7.4,7.75,4.41,1.68,3.67
2026-08-07T00:00:00,Demo beneficiary 59,,Kandy,Poultry,60000,76.6,Approve,,Approve,Approve,Demo,approver,,demo0058,S.Kumar - CDC - 2026.05.01,,C2.2;C4.4,,10.5,11.46,13.68,14.95,7.4,7.04,5.49,2.06,4.03
2026-05-03T00:00:00,Demo beneficiary 60,,Badulla,Vegetable cultivation,45000,61.7,Approve with conditions,,Approve with conditions,Revise and resubmit,Demo,approver,,demo0059,A.Perera - CDC - 2026.05.01,,C5.2;C2.2;C2.3,,7.69,10.52,9.98,11.83,5.57,7.58,2.44,2.55,3.58
